datediff,longitude,latitude,Mg
0.00 ,122.27,24.08,5
0.07 ,122.24,24.05,6.2
2.47 ,122.36,24.07,5
1.40 ,121.93,24.29,5.1
0.83 ,122.36,24.13,5.1
1.47 ,122.46,25.46,5.5
0.70 ,122.68,24.1,6
0.07 ,122.5,24.8,5.2
0.13 ,122.48,24.97,5.5
0.90 ,122.08,25.01,5
1.13 ,121.9,24.22,5.2
4.47 ,122.47,22.28,5.3
0.83 ,122.28,24.01,5
0.97 ,122.64,24.38,5
0.53 ,122.15,24.7,5.5
1.20 ,122.45,24.11,5.2
0.63 ,123.17,23.56,5.6
3.13 ,122.28,24.79,5.2
0.03 ,122.34,24.59,5.2
1.77 ,122.18,24.66,6.3
0.00 ,121.88,24.5,5.4
1.53 ,121.79,24.17,5
3.83 ,122.13,24.73,5.8
0.10 ,122.94,24.76,5.3
0.00 ,122.96,24.7,5
1.40 ,121.95,24.79,6.4
0.00 ,122.26,24.08,5.8
0.57 ,122.41,23.99,5
0.10 ,122.93,24.83,5
0.10 ,122.86,24.82,5.4
0.00 ,121.61,23.49,5.9
0.00 ,122.91,24.77,5
0.00 ,122.94,24.73,5.4
0.00 ,123,24.84,5.4
0.00 ,122.82,24.58,5.3
0.00 ,122.92,24.75,5.5
0.00 ,122.98,24.8,5.5
0.00 ,122.87,24.78,5
0.00 ,122.78,24.8,5.2
0.00 ,122.9,24.79,5.6
0.00 ,122.86,24.73,5
0.00 ,122.76,24.9,5.1
0.00 ,122.82,24.81,5.4
0.00 ,122.91,24.87,5.5
0.00 ,122.92,24.71,5.5
0.00 ,122.97,24.67,5.4
0.00 ,123.02,24.76,5.9
0.00 ,123.12,24.49,5.4
0.00 ,122.94,24.73,5.3
0.00 ,122.8,24.6,5.1
0.00 ,122.87,24.7,5.2
0.00 ,122.76,24.71,5.9
0.00 ,122.88,24.84,5
0.00 ,122.89,24.81,5.3
0.00 ,122.96,24.7,6.2
0.00 ,122.98,24.88,5.2
0.00 ,122.81,24.61,5.1
0.00 ,122.94,24.59,5.3
0.00 ,122.93,24.74,5
0.00 ,123.21,24.73,5.1
0.00 ,123.16,24.68,5.4
0.00 ,123.19,24.61,5.2
0.00 ,123.43,24.54,5.2
0.00 ,123.09,24.69,5.5
0.03 ,122.86,24.7,5.3
0.00 ,123.23,24.56,5
0.00 ,123.15,24.7,5.5
0.00 ,123.39,24.85,5
0.00 ,122.98,24.8,5.2
0.00 ,123.24,24.66,5.1
0.00 ,122.85,24.75,5
0.00 ,122.88,24.74,5.2
0.03 ,123.11,24.83,5.2
0.03 ,122.84,24.9,6
0.00 ,122.84,24.86,5.3
0.07 ,123.21,24.69,5.4
0.80 ,122.86,24.71,5.3
1.00 ,123.3,24.79,5.1
0.00 ,121.69,24.09,6.8
0.10 ,121.61,24.11,5.7
0.03 ,121.73,24.01,5.6
0.00 ,121.71,24.11,5.5
0.40 ,121.69,24.03,5.3
0.03 ,121.64,23.96,5.5
1.80 ,120.99,21.74,5
0.03 ,121.65,24.7,6
0.37 ,122.71,24.83,5.7
3.20 ,121.74,22.33,5.6
0.00 ,121.81,24.02,7.3
0.00 ,121.82,24.23,5.2
0.00 ,122,24.04,5.5
0.00 ,121.72,23.93,6.7
0.00 ,121.67,23.95,5.4
0.00 ,121.84,23.92,6.3
0.00 ,121.77,23.79,5
0.00 ,121.89,23.86,5
0.00 ,121.75,24.05,5.8
0.00 ,121.75,24.04,5.7
0.03 ,121.68,23.92,6.1
0.00 ,121.81,23.82,5.1
0.07 ,121.8,23.83,5.4
0.00 ,121.81,23.94,5.4
0.03 ,122.09,23.98,5
0.37 ,121.88,24.05,5
0.00 ,122.7,24.73,5
0.13 ,121.95,23.95,5.4
0.60 ,122.24,24.89,5.2
0.27 ,121.11,24.36,5
0.23 ,122.65,24.53,5
0.87 ,121.78,24.01,5.9
2.33 ,122.54,24.08,5.1
2.03 ,122.09,23.97,5.4
0.50 ,122.26,25.49,5.2
0.53 ,121.62,24.37,5.4
5.27 ,120.87,22.99,5.2
1.90 ,120.8,23.41,5.6
0.63 ,122.53,23.86,5.9
1.17 ,121.82,23.85,5.2
0.17 ,121.63,24.03,5.8
0.43 ,121.3,23.36,5.2
2.30 ,121.86,23.54,5.3
0.60 ,121.53,25.16,5
0.03 ,121.61,23.99,6
0.67 ,121.61,22.62,5
0.57 ,121.41,21.87,5.1
1.63 ,122.44,24.17,5
0.00 ,121.71,21.91,6.2
2.83 ,121.72,21.83,5.8
5.00 ,120.48,24.17,5
1.87 ,121.48,23.5,5.1
0.63 ,121.99,23.12,6.7
0.53 ,122.53,24.11,6.3
0.57 ,121.51,24.19,5
0.67 ,121.98,22.71,5.4
3.10 ,122.56,24.82,5.2
6.07 ,122.15,24.38,5.1
0.03 ,121.85,24.25,5.2
1.20 ,121.83,24.26,6.1
0.67 ,122.05,22.6,5.4
2.07 ,120.85,22.75,5.9
1.03 ,121.77,24.06,5.5
0.00 ,121.64,23.95,6.5
0.03 ,121.69,23.81,5.1
0.00 ,121.63,23.76,7
0.00 ,121.77,23.9,5.1
0.00 ,121.75,23.82,5.9
0.00 ,121.76,23.66,5
0.00 ,121.81,23.7,5.7
0.00 ,121.77,23.82,5.5
0.00 ,121.82,23.68,5.1
0.00 ,121.72,23.86,5.1
0.00 ,121.65,23.77,5.8
0.00 ,121.7,23.82,5.2
0.00 ,121.61,23.71,6.2
0.00 ,121.72,23.82,6.3
0.00 ,121.69,23.82,5
0.00 ,121.71,23.83,5.5
0.00 ,121.65,23.61,5.6
0.00 ,121.68,23.91,5.3
0.00 ,121.72,23.86,5.6
0.03 ,121.7,23.69,5.1
0.10 ,121.69,23.65,5
0.03 ,121.67,23.79,5.6
0.00 ,121.47,23.53,5.2
0.03 ,121.62,23.69,6
0.00 ,121.63,23.69,5.9
0.17 ,121.2,23.66,5.1
0.00 ,121.59,23.78,6.4
0.17 ,121.63,23.86,5.8
0.63 ,121.71,23.82,5.8
0.57 ,121.4,23.7,6
0.67 ,122,24,5
0.23 ,122.1,24.1,5
0.30 ,122,24,5.8
0.17 ,120.3,23,6
0.30 ,120.1,23.2,5
0.00 ,121.8,22.3,6.7
0.00 ,121.4,22,5.4
1.03 ,121.1,22,5.4
5.23 ,122.6,23.9,5
0.40 ,121.5,22.7,5.4
5.17 ,121.2,23,5
1.20 ,123.6,23.5,6
0.03 ,121.7,23.8,6.8
0.10 ,121.9,24.1,5.1
1.17 ,121.1,24.2,5.1
0.00 ,121.5,22.9,5
2.33 ,121.6,23,5.9
0.27 ,122.6,24.4,6
0.60 ,121.6,24.2,5.2
0.53 ,121.9,23.7,6
0.33 ,122.3,24,5.1
0.17 ,122.8,24.1,6.4
2.87 ,121.3,22.8,5.2
0.87 ,121.6,24,5.2
1.37 ,121.7,24.2,5.8
0.00 ,121.1,22,5.3
8.40 ,121.4,22.2,5.1
0.83 ,121.4,22.5,5
0.10 ,121,21.7,5.2
0.20 ,120.8,21.4,6.1
1.17 ,121.1,23.3,5.9
0.43 ,122,24.2,5.6
0.23 ,122.3,25,5.4
1.20 ,122.5,24.1,5.1
0.37 ,122.3,24.1,5.7
1.43 ,120.5,23,5.1
0.43 ,120,21.5,5.4
0.00 ,122.2,24.5,6.3
0.00 ,122.1,24.5,5.6
0.03 ,122.5,24.4,6.2
0.00 ,122.5,24.1,7
0.00 ,122.5,24.1,5.7
0.30 ,122.5,24.1,5.1
0.10 ,120.8,21.4,5.1
3.43 ,121.7,24.8,7
0.13 ,118.5,23,7.3
0.03 ,118.5,22.8,5.1
0.47 ,121.6,23,5.2
0.50 ,121.6,23.4,5.9
0.30 ,118.5,22.8,5.3
0.40 ,122.2,24.8,6.1
0.20 ,118.8,22.7,5.5
0.33 ,118.6,23.2,5.6
0.57 ,122,24.4,5.3
0.27 ,122.8,24.1,5
0.03 ,118.5,22.4,5.5
0.63 ,118.7,22.5,5.3
1.30 ,121.9,23.4,5.3
0.17 ,118.5,22.7,5.2
0.10 ,121.9,24.2,6.6
0.87 ,120.7,23.3,5
0.33 ,121.8,24.7,5.1
0.03 ,122,24.5,6
0.17 ,122.4,24.1,5
0.53 ,120.7,22.2,5.2
0.27 ,120.1,23,5
0.83 ,121.3,24.4,5
0.93 ,121.3,23,5.9
0.40 ,121.7,24.6,6.2
0.27 ,121.3,23.7,5.1
3.63 ,121.9,24.4,5.7
1.00 ,120.2,23.6,5
0.60 ,121.6,24.9,5.4
0.23 ,121.8,24.1,5.4
2.33 ,121.4,22.8,5.4
0.03 ,122,24.7,6.8
0.43 ,122.3,24,6.2
0.00 ,122.1,24.1,5.1
0.33 ,122.1,24.1,5.2
0.00 ,121.9,24.2,5
4.10 ,122.3,24.1,5.9
1.27 ,121.7,24.6,5.3
0.00 ,121.9,21.5,7.1
0.00 ,121.4,21.8,5
0.00 ,121.6,21.4,5.3
2.70 ,121.8,21.6,5.5
1.33 ,121.8,24.1,5.2
0.37 ,121.9,24.9,5.4
0.10 ,121.1,21.8,5.1
2.83 ,121.8,24.8,5.2
0.63 ,121.4,24.1,5.2
2.10 ,121.1,22.5,5.1
0.33 ,121.4,22.7,5.1
2.97 ,122.1,24.2,5.4
0.63 ,122.4,24.9,5.2
0.47 ,122.5,24.5,5.1
2.20 ,121.8,24.7,5.4
5.97 ,121.3,22.5,5.5
4.13 ,120.4,23.7,6.3
3.20 ,120.9,22.4,5.5
1.37 ,122.9,23.8,6.1
0.00 ,122.1,24.8,5
1.10 ,121.9,25.6,5
0.93 ,122.2,24.7,5.4
1.10 ,122.3,24.7,5.2
2.17 ,120.4,23.8,5.1
0.37 ,121.8,22.6,5.2
0.00 ,121.1,23.7,7.6
0.03 ,120.9,23.7,7
0.00 ,121,24,6.7
0.03 ,120,24,6.2
0.00 ,120.6,24,5
0.03 ,120.6,24,5.2
0.03 ,121.1,23.9,5
0.20 ,121.1,23.9,5.4
0.07 ,120.9,23.6,5.5
0.07 ,122.1,24,5.1
0.27 ,121.1,23.9,5
0.17 ,121.2,23.9,5.4
0.03 ,121,24.1,5.1
0.07 ,121,24.1,5.3
0.03 ,122.3,24.1,5.1
0.00 ,122.6,24.2,5.1
0.00 ,120.4,23.6,6.4
0.07 ,120.4,23.6,6.1
0.20 ,120.3,23.9,5
0.10 ,121.3,24.1,5.2
0.50 ,121.6,23.5,6.6
0.30 ,120.7,23.8,5.5
1.03 ,122.6,23.9,5
1.70 ,118.5,22.4,5
0.97 ,120.5,23.4,5.6
2.07 ,120.8,23.5,5.2
0.03 ,121.1,24,6.1
0.80 ,121,24.3,5.3
0.30 ,121.1,23.8,6.8
0.80 ,120.8,24.1,5.1
0.00 ,121.9,24.1,5.3
0.03 ,121.8,24.1,6
0.07 ,121.6,24.1,5.3
0.07 ,121.9,24.1,5.1
0.33 ,121.6,24.2,5
0.73 ,120.7,23.7,6.2
0.10 ,120.7,23.4,5.1
0.30 ,121.5,23.7,5.2
0.30 ,121.1,24.3,5
0.23 ,121.1,24.4,6.3
2.43 ,122.1,24,5.1
0.40 ,121.4,24.2,5
0.07 ,120.1,23.2,5.3
0.57 ,122.5,24.2,5.3
0.40 ,121.6,24.7,5.1
1.67 ,121.1,24,5.1
1.87 ,121,24,5.6
1.57 ,121.1,23.7,5.1
0.03 ,122.1,24.7,5.5
0.17 ,122.1,24.4,6.4
0.00 ,121,23.3,5.5
1.63 ,121.1,23.3,5.4
1.17 ,121.1,21.5,5.4
0.23 ,121.8,24.5,5.1
3.20 ,120.6,23.1,5.2
0.17 ,122.8,24.2,5.2
0.40 ,122.6,24.4,5.5
1.13 ,120.8,24.4,5.1
1.57 ,121.5,23.9,5.7
0.13 ,122.1,24.4,7.5
0.80 ,121.9,24.3,5.4
0.57 ,122.8,24.2,5.1
0.47 ,122.1,24.5,6.5
0.53 ,122.2,24.1,6.2
0.90 ,122.1,24.9,5.4
1.00 ,122.3,24,5.9
0.63 ,121.7,24.3,5
0.03 ,121.3,22.1,5.4
0.07 ,121.8,24.8,5
0.00 ,122.3,24.1,5.6
0.17 ,122.6,24,5.5
0.30 ,120.7,23.8,5
0.03 ,122.4,24,5
0.30 ,122.4,25,5.5
0.17 ,120.9,22.9,5
7.57 ,120.5,23.5,5.1
0.83 ,122.4,25.1,5
0.03 ,121.8,24.6,5.8
0.23 ,121.6,23.6,6
1.67 ,121.6,23.7,5.1
4.20 ,121.5,23.9,5
0.03 ,121.4,23.1,7
0.23 ,121.3,22.9,5.3
1.60 ,121.3,22.7,5
0.73 ,122,23.5,5.1
2.17 ,123.05,24.15,5.1
0.23 ,121.6,24.1,5.2
0.27 ,121.4,22.3,5.6
0.10 ,122,23.1,5.4
4.97 ,121.35,22.75,6.7
0.80 ,122.9,24.4,6.3
0.03 ,122.6,24.05,6.5
0.07 ,122.6,24.05,5
3.33 ,122.2,24.3,5.7
0.50 ,121.7,23.4,5.6
0.00 ,121.8,24.9,6.3
1.83 ,121.85,24.9,6.3
1.10 ,121.7,24.1,5.4
0.20 ,122,24.7,5.4
1.40 ,121.8,24.1,5.5
1.60 ,122.35,24.8,5.3
0.00 ,124.9,25.5,5.2
0.70 ,122.1,24,6
0.60 ,121.4,23.2,5.3
1.07 ,123.8,25.1,6.3
4.53 ,121.9,21.9,5.1
0.50 ,121,22.9,6.5
0.40 ,121.2,23,5.9
1.60 ,121.55,24,5.4
1.43 ,124.1,25.2,5.1
2.53 ,122.3,24.1,6
2.43 ,122.55,24.05,5.9
0.77 ,122.3,24.8,5
0.30 ,122.4,24,5
5.97 ,122.1,22.8,5.5
0.57 ,121.7,23.7,5.5
0.67 ,121.05,22.65,5.5
0.30 ,121.4,21.9,5.5
2.97 ,122.3,24.2,6.3
2.50 ,124.25,25.85,5.1
0.53 ,121.5,23.3,5.5
1.67 ,120.7,23.2,5.1
0.57 ,121.7,22.9,6.1
0.10 ,122.5,24,5.6
0.63 ,121,22.6,5.1
1.33 ,121.7,25,5
0.03 ,120.9,21.1,5.2
1.93 ,120.8,21.1,6
2.80 ,122.6,24.6,5.2
0.20 ,121.6,23.4,5.1
0.50 ,122.1,23.9,5.2
0.40 ,120.6,23,5.2
5.83 ,121.84,24.17,5.2
0.53 ,121.88,24.16,5.3
0.07 ,122.23,24.09,6.8
0.03 ,122.32,24.03,5.4
0.30 ,122.3,24.04,5.1
0.00 ,121.02,23.7,5.1
0.13 ,121.39,23.43,5.2
2.20 ,120.4,22.07,5.6
1.07 ,121.57,23.76,6.2
0.00 ,120.7,23.84,5.8
1.47 ,120.75,23.82,5.2
2.10 ,121.64,23.88,6.6
0.20 ,120.98,20.96,5
0.20 ,122.73,23.84,5.2
0.00 ,120.7,22.96,6.7
1.27 ,120.62,22.98,5.1
0.10 ,122.02,23.4,5.1
2.07 ,121.41,23.05,5
0.80 ,121.65,24.06,5.5
0.30 ,122.16,24.31,5
0.23 ,122.43,24.07,5.3
0.93 ,120.67,22.86,5.1
0.27 ,121.95,24.84,5.1
2.47 ,122.35,24.95,5.2
0.30 ,122.4,24.12,5.1
2.40 ,121.57,23.95,5.5
0.47 ,121.8,24.2,5.4
1.10 ,121.15,21.1,5.2
0.30 ,121.4,22.4,5.3
1.80 ,124.55,23.34,5.2
5.37 ,121.6,24.15,5.3
3.97 ,123.05,25.25,5.5
1.43 ,120.75,22.75,6
1.93 ,122.3,24.1,5.5
0.13 ,121.4,22.4,5.6
0.17 ,122.3,24.5,5.9
8.83 ,121.6,23.7,5.3
0.67 ,121.5,24.3,5.7
2.23 ,121,24,6.5
0.20 ,120.9,23.9,6.7
0.70 ,122.7,24,5.9
0.57 ,122.3,24,5.6
3.57 ,121.5,24.2,5
4.63 ,121.4,23.5,6.7
2.10 ,122.35,24.06,5.6
1.70 ,121.5,23.7,5.7
2.53 ,125.9,26.3,5.1
1.87 ,121.36,22.77,5
0.70 ,122.08,25,5.4
0.90 ,122.4,25.6,6.2
1.27 ,121.7,24.34,5.2
1.23 ,121.54,22.61,6.2
0.93 ,121.69,23.84,5.7
0.00 ,122.5,24,6.4
0.00 ,122.5,24.1,5.9
0.20 ,122.5,24.1,6
0.50 ,122.53,23.98,5.3
3.13 ,120.56,24.52,5
0.63 ,122.41,24.1,5.2
0.50 ,121.49,24,5
0.00 ,121.86,24.33,5.7
1.10 ,121.92,24.32,5.4
0.47 ,122.01,24.94,5.3
0.30 ,121.65,22.8,5.6
2.30 ,122.7,24.5,5
0.47 ,121.42,22.83,5.4
0.13 ,123.45,25.41,6.2
0.10 ,120.54,22.94,6.7
0.30 ,121.77,23.92,5.3
2.30 ,120.88,23.04,5
0.03 ,121.71,24.22,5.6
0.47 ,121.3,23.26,5.2
0.00 ,122,24.71,6.2
0.03 ,122.02,24.77,5.8
0.60 ,121.98,24.78,5
4.27 ,122.41,25.43,6.2
1.67 ,121.38,22.6,5.9
0.17 ,122.38,24.14,5.2
0.50 ,121.39,22.78,5
1.93 ,121.26,22.86,5.1
2.60 ,120.2,22.85,5.6
0.53 ,121.8,21.43,5
4.23 ,121.49,23.31,5.6
1.73 ,121.85,23.35,5.5
0.37 ,120.69,23.68,5
2.47 ,120.6,23.71,5.2
0.00 ,121.72,24.2,6.4
0.07 ,121.75,24.16,5.5
0.03 ,121.71,24.13,6.5
0.00 ,121.74,24.1,5.2
0.00 ,121.68,24.05,5.2
0.00 ,121.69,24.02,5.9
0.00 ,121.79,23.98,5
0.63 ,121.79,24.07,6.1
0.73 ,121.97,24.43,5
1.43 ,120.52,23.33,5.1
5.80 ,122.29,23.97,5.2
0.03 ,122.65,24.01,6
1.10 ,122.68,24.01,5.7
0.67 ,118.6,23.28,6.2
1.50 ,121.8,23.71,5.2
1.23 ,122.43,23.77,5.2
0.87 ,121.34,22.46,5.3
0.03 ,120.87,22.95,5.7
0.17 ,120.85,22.99,5.1
0.30 ,121.61,23.96,5
1.57 ,121.65,24.02,6.7
2.17 ,121.75,22.82,5.8
0.33 ,121.96,24.52,6.4
2.00 ,121.57,23.74,5
4.03 ,122.58,24.02,5.1
2.60 ,121.49,23.95,5.4
1.40 ,121.6,23.29,5.4
1.40 ,122.41,24.29,5.5
2.17 ,122.48,24.27,5.5
0.03 ,121.1,22.29,5
2.37 ,122.14,24.85,5
1.00 ,121.99,24.74,5.8
0.27 ,122.21,24.7,5.1
0.70 ,121.44,22.44,5.1
0.07 ,122.5,24.65,5.2
0.70 ,122.12,24.32,5.3
1.57 ,121.17,21.92,5.3
0.00 ,121.53,23.92,5.6
2.67 ,121.43,23.94,6.1
0.03 ,121.66,23.88,5.3
0.20 ,121.68,23.88,5.1
0.73 ,121.73,23.89,5.2
0.03 ,122.31,24.82,5.8
0.00 ,122.3,24.76,5.4
1.03 ,121.31,23.15,5.1
1.60 ,122.07,23.9,5.2
2.23 ,121.8,24.55,6.3
0.13 ,122.5,23.9,5.1
